English name,Attribute,Check
[[Number 1: Infection Buzzking|Number 1: Infection Buzzking]],DARK,X
[[Number 1: Numeron Gate Ekam|Number 1: Numeron Gate Ekam]],LIGHT,X
[[Number 2: Ninja Shadow Mosquito|Number 2: Ninja Shadow Mosquito]],WIND,X
[[Number 2: Numeron Gate Dve|Number 2: Numeron Gate Dve]],LIGHT,X
[[Number 3: Cicada King|Number 3: Cicada King]],WIND,X
[[Number 3: Numeron Gate Trini|Number 3: Numeron Gate Trini]],LIGHT,O
[[Number 4: Numeron Gate Catvari|Number 4: Numeron Gate Catvari]],LIGHT,X
[[Number 4: Stealth Kragen|Number 4: Stealth Kragen]],WATER,X
[[Number 5: Doom Chimera Dragon|Number 5: Doom Chimera Dragon]],DARK,X
[[Number 6: Chronomaly Atlandis|Number 6: Chronomaly Atlandis]],LIGHT,X
[[Number 7: Lucky Straight|Number 7: Lucky Straight]],LIGHT,O
[[Number 8: Heraldic King Genom-Heritage|Number 8: Heraldic King Genom-Heritage]],LIGHT,X
[[Number 9: Dyson Sphere|Number 9: Dyson Sphere]],LIGHT,O
[[Number 10: Illumiknight|Number 10: Illumiknight]],LIGHT,O
[[Number 11: Big Eye|Number 11: Big Eye]],DARK,O
[[Number 12: Crimson Shadow Armor Ninja|Number 12: Crimson Shadow Armor Ninja]],EARTH,O
[[Number 13: Embodiment of Crime|Number 13: Embodiment of Crime]],DARK,O
[[Number 14: Greedy Sarameya|Number 14: Greedy Sarameya]],DARK,X
[[Number 15: Gimmick Puppet Giant Grinder|Number 15: Gimmick Puppet Giant Grinder]],DARK,O
[[Number 16: Shock Master|Number 16: Shock Master]],LIGHT,X
[[Number 17: Leviathan Dragon|Number 17: Leviathan Dragon]],WATER,O
[[Number 18: Heraldry Patriarch|Number 18: Heraldry Patriarch]],LIGHT,O
[[Number 19: Freezadon|Number 19: Freezadon]],WATER,O
[[Number 20: Giga-Brilliant|Number 20: Giga-Brilliant]],LIGHT,O
[[Number 21: Frozen Lady Justice|Number 21: Frozen Lady Justice]],WATER,X
[[Number 22: Zombiestein|Number 22: Zombiestein]],DARK,O
"[[Number 23: Lancelot, Dark Knight of the Underworld|Number 23: Lancelot, Dark Knight of the Underworld]]",DARK,X
[[Number 24: Dragulas the Vampiric Dragon|Number 24: Dragulas the Vampiric Dragon]],DARK,X
[[Number 25: Force Focus|Number 25: Force Focus]],LIGHT,O
[[Number 26: Spaceway Octobypass|Number 26: Spaceway Octobypass]],LIGHT,X
[[Number 27: Dreadnought Dreadnoid|Number 27: Dreadnought Dreadnoid]],WATER,O
[[Number 28: Titanic Moth|Number 28: Titanic Moth]],FIRE,O
[[Number 29: Mannequin Cat|Number 29: Mannequin Cat]],LIGHT,O
[[Number 30: Acid Golem of Destruction|Number 30: Acid Golem of Destruction]],WATER,O
[[Number 31: Embodiment of Punishment|Number 31: Embodiment of Punishment]],DARK,O
[[Number 32: Shark Drake|Number 32: Shark Drake]],WATER,O
[[Number 33: Chronomaly Machu Mech|Number 33: Chronomaly Machu Mech]],LIGHT,O
[[Number 34: Terror-Byte|Number 34: Terror-Byte]],DARK,O
[[Number 35: Ravenous Tarantula|Number 35: Ravenous Tarantula]],DARK,O
[[Number 36: Chronomaly Chateau Huyuk|Number 36: Chronomaly Chateau Huyuk]],LIGHT,O
