Id,name,GP,GW,GL,GP%,GW%
1,Incineroar,3617,1860,1757,71.70%,51.40%
2,Rillaboom,2768,1443,1325,54.90%,52.10%
3,Regieleki,1688,813,875,33.50%,48.20%
4,Urshifu Rapid Strike ,1658,845,813,32.90%,51.00%
5,Zacian Crowned Sword,1477,740,737,29.30%,50.10%
6,Amoonguss,1218,643,575,24.10%,52.80%
7,Landorus Incarnate ,1146,551,595,22.70%,48.10%
8,Stakataka,1090,563,527,21.60%,51.70%
9,Entei,846,419,427,16.80%,49.50%
10,Tsareena,713,334,379,14.10%,46.80%
11,Kyogre,686,345,341,13.60%,50.30%
12,Calyrex Shadow Rider,614,322,292,12.20%,52.40%
13,Whimsicott,605,304,301,12.00%,50.20%
14,Tornadus Incarnate ,596,275,321,11.80%,46.10%
15,Nihilego,556,297,259,11.00%,53.40%
16,Volcarona,552,252,300,10.90%,45.70%
17,Xerneas,518,234,284,10.30%,45.20%
18,Groudon,468,227,241,9.30%,48.50%
19,Tapu Fini,448,221,227,8.90%,49.30%
20,Indeedee Female,448,208,240,8.90%,46.40%
21,Zapdos,438,224,214,8.70%,51.10%
22,Suicune,418,228,190,8.30%,54.50%
23,Landorus Therian ,378,207,171,7.50%,54.80%
24,Mienshao,378,196,182,7.50%,51.90%
25,Mimikyu,301,172,129,6.00%,57.10%
26,Torkoal,266,126,140,5.30%,47.40%
27,Yveltal,244,123,121,4.80%,50.40%
28,Ditto,241,103,138,4.80%,42.70%
29,Eternatus,229,110,119,4.50%,48.00%
30,Calyrex Ice Rider,224,110,114,4.40%,49.10%
31,Araquanid,222,109,113,4.40%,49.10%
32,Venusaur,222,94,128,4.40%,42.30%
33,Grimmsnarl,197,97,100,3.90%,49.20%
34,Cherrim,178,88,90,3.50%,49.40%
35,Shedinja,166,82,84,3.30%,49.40%
36,Lunala,165,94,71,3.30%,57.00%
37,Dragapult,163,90,73,3.20%,55.20%
38,Galarian Moltres,161,87,74,3.20%,54.00%
39,Palkia,156,77,79,3.10%,49.40%
40,Gyarados,154,64,90,3.10%,41.60%
41,Porygon2,138,86,52,2.70%,62.30%
42,Mandibuzz,135,49,86,2.70%,36.30%
43,Tapu Lele,132,65,67,2.60%,49.20%
44,Oranguru,108,54,54,2.10%,50.00%
45,Gothitelle,104,46,58,2.10%,44.20%
46,Milotic,103,54,49,2.00%,52.40%
47,Thundurus Incarnate ,102,49,53,2.00%,48.00%
48,Pelipper,98,44,54,1.90%,44.90%
49,Galarian Zapdos,94,51,43,1.90%,54.30%
50,Gastrodon,82,37,45,1.60%,45.10%
51,Celesteela,80,37,43,1.60%,46.30%
52,Ferrothorn,75,24,51,1.50%,32.00%
53,Hitmontop,71,27,44,1.40%,38.00%
54,Dracovish,65,32,33,1.30%,49.20%
55,Weavile,60,33,27,1.20%,55.00%
56,Raichu,57,27,30,1.10%,47.40%
57,Lurantis,55,27,28,1.10%,49.10%
58,Mamoswine,53,22,31,1.10%,41.50%
59,Kommo-o,50,37,13,1.00%,74.00%
60,Charizard,49,24,25,1.00%,49.00%
61,Aegislash Shield ,48,22,26,1.00%,45.80%
62,Lilligant,47,18,29,0.90%,38.30%
63,Ho-oh,46,19,27,0.90%,41.30%
64,Latias,45,21,24,0.90%,46.70%
65,Tapu Koko,42,21,21,0.80%,50.00%
66,Dusk Mane Necrozma,41,27,14,0.80%,65.90%
67,Weezing,40,20,20,0.80%,50.00%
68,Politoed,38,29,9,0.80%,76.30%
69,Togekiss,38,22,16,0.80%,57.90%
70,Raikou,38,18,20,0.80%,47.40%
71,Dusclops,36,9,27,0.70%,25.00%
72,Jellicent,35,23,12,0.70%,65.70%
73,White Kyurem,34,24,10,0.70%,70.60%
74,Alolan Ninetales,34,24,10,0.70%,70.60%
75,Alolan Marowak,34,20,14,0.70%,58.80%
76,Drifblim,33,17,16,0.70%,51.50%
77,Sableye,31,20,11,0.60%,64.50%
78,Scizor,27,19,8,0.50%,70.40%
79,Dragonite,26,9,17,0.50%,34.60%
80,Togedemaru,24,12,12,0.50%,50.00%
81,Pheromosa,23,12,11,0.50%,52.20%
82,Talonflame,22,14,8,0.40%,63.60%
83,Tyranitar,22,12,10,0.40%,54.50%
