Move,Use_Percentage,Pokemon,Unique
Behemoth Blade,100.00%,Zacian Crowned Sword,1
Protect,98.67%,Zacian Crowned Sword,0
Protect,67.61%,Kyogre,0
Protect,72.10%,Regieleki,0
Protect,47.38%,Rillaboom,0
Protect,42.59%,Groudon,0
Protect,71.43%,Calyrex Shadow Rider,0
Protect,18.17%,Thundurus Incarnate Forme,0
Protect,38.40%,Landorus Therian Forme,0
Protect,96.36%,Gastrodon,0
Protect,83.02%,Charizard,0
Protect,87.55%,Amoonguss,0
Protect,86.72%,Indeedee Female,0
Protect,22.51%,Whimsicott,0
Protect,51.47%,Yveltal,0
Protect,50.25%,Calyrex Ice Rider,0
Protect,41.04%,Palkia,0
Protect,72.22%,Tornadus Incarnate Forme,0
Protect,50.90%,Zapdos,0
Protect,6.68%,Blastoise,0
Protect,21.67%,Venusaur,0
Protect,81.65%,Ferrothorn,0
Protect,34.12%,Urshifu Single Strike Style,0
Protect,98.79%,Xerneas,0
Protect,12.82%,Dialga,0
Protect,16.05%,Shedinja,0
Protect,63.22%,Solgaleo,0
Protect,80.65%,Torkoal,0
Protect,63.42%,Kingdra,0
Protect,99.91%,Weezing,0
Protect,13.98%,Entei,0
Protect,58.96%,Lunala,0
Protect,67.54%,White Kyurem,0
Protect,66.13%,Tapu Fini,0
Protect,41.90%,Urshifu Rapid Strike Style,0
Protect,8.37%,Mimikyu,0
Protect,10.11%,Gothitelle,0
Protect,19.66%,Seismitoad,0
Protect,80.61%,Ho-oh,0
Protect,38.36%,Heat Rotom,0
Protect,52.18%,Eternatus,0
Protect,33.16%,Regigigas,0
Protect,7.23%,Cinderace,0
Protect,28.78%,Togekiss,0
Protect,95.08%,Coalossal,0
Protect,15.46%,Dragapult,0
Protect,40.43%,Comfey,0
Protect,75.60%,Lapras,0
Protect,51.97%,Rayquaza,0
Protect,11.11%,Spectrier,0
Protect,50.58%,Reshiram,0
Protect,92.21%,Zygarde Complete Forme,0
Protect,98.71%,Mamoswine,0
Protect,16.71%,Barraskewda,0
Protect,56.26%,Celesteela,0
Protect,31.41%,Metagross,0
Protect,63.69%,Araquanid,0
Protect,34.15%,Pheromosa,0
Protect,29.62%,Arcanine,0
Protect,24.52%,Zamazenta Crowned Shield,0
Protect,87.37%,Clefairy,0
Protect,28.43%,Lugia,0
Protect,12.80%,Suicune,0
Protect,39.26%,Landorus Incarnate Forme,0
Protect,17.62%,Dusk Mane Necrozma,0
Protect,28.23%,Alcremie,0
Protect,54.95%,Tapu Koko,0
Protect,10.08%,Hydreigon,0
Protect,5.45%,Weavile,0
Protect,15.99%,Tsareena,0
Protect,72.37%,Glastrier,0
Protect,45.75%,Dracovish,0
Protect,26.55%,Regidrago,0
Protect,89.11%,Zekrom,0
Protect,55.98%,Shuckle,0
Protect,13.49%,Galarian Zapdos,0
Protect,53.14%,Volcarona,0
Protect,16.24%,Snorlax,0
Protect,20.10%,Stakataka,0
Protect,61.68%,Thundurus Therian Forme,0
Protect,64.15%,Galarian Moltres,0
Protect,10.56%,Talonflame,0
Protect,28.81%,Milotic,0
Protect,14.22%,Mewtwo,0
Protect,23.57%,Klinklang,0
Protect,49.93%,Inteleon,0
Protect,85.44%,Salamence,0
Protect,16.23%,Hatterene,0
Protect,61.31%,Escavalier,0
Protect,25.39%,Wash Rotom,0
Protect,91.50%,Politoed,0
Protect,54.37%,Ludicolo,0
Protect,13.69%,Slowking,0
Protect,86.11%,Azumarill,0
Protect,21.06%,Galarian Articuno,0
Protect,70.13%,Tyranitar,0
Protect,39.69%,Pikachu,0
Protect,34.66%,Alolan Ninetales,0
Protect,61.60%,Alolan Marowak,0
Protect,23.58%,Slowbro,0
Protect,89.46%,Giratina Origin Forme,0
Protect,92.10%,Pelipper,0
Protect,98.18%,Galarian Weezing,0
Protect,34.47%,Kingler,0
Protect,5.92%,Oranguru,0
Protect,79.90%,Nihilego,0
Protect,36.34%,Gyarados,0
Protect,78.37%,Garchomp,0
Protect,3.30%,Heliolisk,0
Protect,95.51%,Tapu Bulu,0
Protect,70.51%,Moltres,0
Protect,55.76%,Krookodile,0
Protect,52.24%,Excadrill,0
