Id,name,GP,GW,GL,GP%,GW%
1,Incineroar,3801,1903,1898,73.40%,50.10%
2,Zacian Crowned Sword,2778,1438,1340,53.70%,51.80%
3,Kyogre,1909,1022,887,36.90%,53.50%
4,Grimmsnarl,1574,792,782,30.40%,50.30%
5,Rillaboom,1424,709,715,27.50%,49.80%
6,Thundurus Incarnate ,1421,719,702,27.40%,50.60%
7,Groudon,1381,683,698,26.70%,49.50%
8,Regieleki,1359,642,717,26.20%,47.20%
9,Charizard,1063,549,514,20.50%,51.60%
10,Amoonguss,1043,557,486,20.10%,53.40%
11,Venusaur,1016,505,511,19.60%,49.70%
12,Calyrex Shadow Rider,854,396,458,16.50%,46.40%
13,Whimsicott,823,416,407,15.90%,50.50%
14,Landorus Therian ,780,420,360,15.10%,53.80%
15,Calyrex Ice Rider,751,365,386,14.50%,48.60%
16,Porygon2,684,334,350,13.20%,48.80%
17,Yveltal,673,333,340,13.00%,49.50%
18,Gastrodon,583,294,289,11.30%,50.40%
19,Tornadus Incarnate ,570,314,256,11.00%,55.10%
20,Palkia,527,247,280,10.20%,46.90%
21,Kartana,479,264,215,9.30%,55.10%
22,Lunala,436,215,221,8.40%,49.30%
23,Indeedee Female,378,171,207,7.30%,45.20%
24,Tapu Fini,369,178,191,7.10%,48.20%
26,Blastoise,258,127,131,5.00%,49.20%
27,Zapdos,244,116,128,4.70%,47.50%
28,Solgaleo,226,103,123,4.40%,45.60%
29,Reshiram,183,91,92,3.50%,49.70%
30,Urshifu Single Strike,170,94,76,3.30%,55.30%
31,Shedinja,160,88,72,3.10%,55.00%
32,Dialga,154,72,82,3.00%,46.80%
33,Mimikyu,140,65,75,2.70%,46.40%
34,Umbreon,136,61,75,2.60%,44.90%
35,Slowbro,132,84,48,2.50%,63.60%
36,Torkoal,109,50,59,2.10%,45.90%
37,Eternatus,103,48,55,2.00%,46.60%
38,White Kyurem,93,42,51,1.80%,45.20%
39,Ditto,83,36,47,1.60%,43.40%
40,Ferrothorn,76,34,42,1.50%,44.70%
41,Gothitelle,72,31,41,1.40%,43.10%
42,Bronzong,69,33,36,1.30%,47.80%
43,Clefairy,66,37,29,1.30%,56.10%
44,Xerneas,63,25,38,1.20%,39.70%
45,Sableye,61,28,33,1.20%,45.90%
46,Heat Rotom,52,19,33,1.00%,36.50%
47,Weezing,50,18,32,1.00%,36.00%
48,Coalossal,49,29,20,0.90%,59.20%
49,Rayquaza,46,20,26,0.90%,43.50%
50,Raichu,45,21,24,0.90%,46.70%
51,Regigigas,43,13,30,0.80%,30.20%
52,Galarian Moltres,39,20,19,0.80%,51.30%
53,Talonflame,37,16,21,0.70%,43.20%
54,Snorlax,35,20,15,0.70%,57.10%
55,Celesteela,35,19,16,0.70%,54.30%
56,Dragapult,30,17,13,0.60%,56.70%
57,Entei,30,13,17,0.60%,43.30%
