Move,Use_Percentage,Pokemon,Unique
Behemoth Blade,1,Zacian Crowned Sword,1
Protect,0.9867,Zacian Crowned Sword,0
Protect,0.6761,Kyogre,0
Protect,0.721,Regieleki,0
Protect,0.4738,Rillaboom,0
Protect,0.4259,Groudon,0
Protect,0.7143,Calyrex Shadow Rider,0
Protect,0.1817,Thundurus Incarnate Forme,0
Protect,0.384,Landorus Therian Forme,0
Protect,0.9636,Gastrodon,0
Protect,0.8302,Charizard,0
Protect,0.8755,Amoonguss,0
Protect,0.8672,Indeedee Female,0
Protect,0.2251,Whimsicott,0
Protect,0.5147,Yveltal,0
Protect,0.5025,Calyrex Ice Rider,0
Protect,0.4104,Palkia,0
Protect,0.7222,Tornadus Incarnate Forme,0
Protect,0.509,Zapdos,0
Protect,0.0668,Blastoise,0
Protect,0.2167,Venusaur,0
Protect,0.8165,Ferrothorn,0
Protect,0.3412,Urshifu Single Strike Style,0
Protect,0.9879,Xerneas,0
Protect,0.1282,Dialga,0
Protect,0.1605,Shedinja,0
Protect,0.6322,Solgaleo,0
Protect,0.8065,Torkoal,0
Protect,0.6342,Kingdra,0
Protect,0.9991,Weezing,0
Protect,0.1398,Entei,0
Protect,0.5896,Lunala,0
Protect,0.6754,White Kyurem,0
Protect,0.6613,Tapu Fini,0
Protect,0.419,Urshifu Rapid Strike Style,0
Protect,0.0837,Mimikyu,0
Protect,0.1011,Gothitelle,0
Protect,0.1966,Seismitoad,0
Protect,0.8061,Ho-oh,0
Protect,0.3836,Heat Rotom,0
Protect,0.5218,Eternatus,0
Protect,0.3316,Regigigas,0
Protect,0.0723,Cinderace,0
Protect,0.2878,Togekiss,0
Protect,0.9508,Coalossal,0
Protect,0.1546,Dragapult,0
Protect,0.4043,Comfey,0
Protect,0.756,Lapras,0
Protect,0.5197,Rayquaza,0
Protect,0.1111,Spectrier,0
Protect,0.5058,Reshiram,0
Protect,0.9221,Zygarde Complete Forme,0
Protect,0.9871,Mamoswine,0
Protect,0.1671,Barraskewda,0
Protect,0.5626,Celesteela,0
Protect,0.3141,Metagross,0
Protect,0.6369,Araquanid,0
Protect,0.3415,Pheromosa,0
Protect,0.2962,Arcanine,0
Protect,0.2452,Zamazenta Crowned Shield,0
Protect,0.8737,Clefairy,0
Protect,0.2843,Lugia,0
Protect,0.128,Suicune,0
Protect,0.3926,Landorus Incarnate Forme,0
Protect,0.1762,Dusk Mane Necrozma,0
Protect,0.2823,Alcremie,0
Protect,0.5495,Tapu Koko,0
Protect,0.1008,Hydreigon,0
Protect,0.0545,Weavile,0
Protect,0.1599,Tsareena,0
Protect,0.7237,Glastrier,0
Protect,0.4575,Dracovish,0
Protect,0.2655,Regidrago,0
Protect,0.8911,Zekrom,0
Protect,0.5598,Shuckle,0
Protect,0.1349,Galarian Zapdos,0
Protect,0.5314,Volcarona,0
Protect,0.1624,Snorlax,0
Protect,0.201,Stakataka,0
Protect,0.6168,Thundurus Therian Forme,0
Protect,0.6415,Galarian Moltres,0
Protect,0.1056,Talonflame,0
Protect,0.2881,Milotic,0
Protect,0.1422,Mewtwo,0
Protect,0.2357,Klinklang,0
Protect,0.4993,Inteleon,0
Protect,0.8544,Salamence,0
Protect,0.1623,Hatterene,0
Protect,0.6131,Escavalier,0
Protect,0.2539,Wash Rotom,0
Protect,0.915,Politoed,0
Protect,0.5437,Ludicolo,0
Protect,0.1369,Slowking,0
Protect,0.8611,Azumarill,0
Protect,0.2106,Galarian Articuno,0
Protect,0.7013,Tyranitar,0
Protect,0.3969,Pikachu,0
Protect,0.3466,Alolan Ninetales,0
Protect,0.616,Alolan Marowak,0
Protect,0.2358,Slowbro,0
Protect,0.8946,Giratina Origin Forme,0
Protect,0.921,Pelipper,0
Protect,0.9818,Galarian Weezing,0
Protect,0.3447,Kingler,0
Protect,0.0592,Oranguru,0
Protect,0.799,Nihilego,0
Protect,0.3634,Gyarados,0
Protect,0.7837,Garchomp,0
Protect,0.033,Heliolisk,0
Protect,0.9551,Tapu Bulu,0
Protect,0.7051,Moltres,0
Protect,0.5576,Krookodile,0
Protect,0.5224,Excadrill,0
Protect,0.2583,Primarina,0
Protect,0.3168,Chandelure,0
Protect,0.0798,Toxicroak,0
Protect,0.772,Dracozolt,0
Protect,0.1219,Sceptile,0
Protect,0.5994,Pincurchin,0
Protect,0.5347,Centiskorch,0
Protect,0.1289,Greedent,0
Protect,0.4525,Porygon-Z,0
Protect,0.1672,Butterfree,0
Protect,0.1667,Lucario,0
Protect,0.3993,Mudsdale,0
Protect,0.7491,Cherrim,0
Protect,0.9492,Exeggutor,0
Protect,0.3621,Altaria,0
Protect,0.0706,Klefki,0
Protect,0.3875,Gigalith,0
Protect,0.167,Riolu,0
Protect,0.378,Mandibuzz,0
Protect,0.8858,Lurantis,0
Protect,0.1381,Dragonite,0
Protect,0.0963,Darmanitan Standard Mode,0
Protect,0.7616,Cradily,0
Protect,0.1116,Scrafty,0
Protect,0.146,Aerodactyl,0
Protect,0.8228,Kabutops,0
Protect,0.1153,Articuno,0
Protect,0.3454,Blacephalon,0
Protect,0.2722,Duraludon,0
Protect,0.0538,Drednaw,0
Protect,0.6333,Heatran,0
Protect,0.8981,Clefable,0
Protect,0.7729,Appletun,0
Protect,0.2899,Bisharp,0
Protect,0.9827,Registeel,0
Protect,0.5895,Rhyperior,0
Protect,0.9928,Stonjourner,0
Protect,0.0759,Leafeon,0
Protect,0.2023,Abomasnow,0
Protect,0.5022,Diggersby,0
Protect,0.7199,Giratina Altered Forme,0
Protect,0.8527,Swoobat,0
Protect,0.38,Vikavolt,0
Protect,0.529,Durant,0
Protect,0.1712,Cresselia,0
Protect,0.9321,Wishiwashi Solo Form,0
Protect,0.4511,Conkeldurr,0
Protect,0.4904,Boltund,0
Protect,0.9421,Terrakion,0
Protect,0.1572,Cobalion,0
Protect,0.8703,Black Kyurem,0
Protect,0.1029,Mantine,0
Protect,0.7342,Machamp,0
Protect,0.1692,Goodra,0
Protect,0.6408,Accelgor,0
Protect,0.4028,Xurkitree,0
Protect,0.9252,Tauros,0
Protect,0.993,Garbodor,0
Protect,0.8522,Luxray,0
Protect,0.1202,Dugtrio,0
Protect,0.5465,Mow Rotom,0
Protect,0.2412,Gengar,0
Protect,0.9881,Glaceon,0
Protect,0.3946,Palossand,0
Protect,0.0488,Espeon,0
Protect,0.8758,Tyrantrum,0
Protect,0.1094,Cinccino,0
Protect,0.8744,Kommo-o,0
Protect,0.6062,Cloyster,0
Protect,0.7828,Blaziken,0
Protect,0.1399,Drampa,0
Protect,0.1267,Grapploct,0
Protect,0.4742,Zoroark,0
Protect,0.3667,Lilligant,0
Protect,0.2516,Clawitzer,0
Protect,0.0657,Haxorus,0
Protect,0.3842,Dhelmise,0
Protect,0.1122,Runerigus,0
Protect,0.7032,Braviary,0
Protect,0.673,Virizion,0
Protect,0.7346,Togetic,0
Protect,0.407,Alolan Raichu,0
Protect,0.2544,Beartic,0
Protect,0.284,Copperajah,0
Protect,0.7579,Flapple,0
Protect,0.5985,Sylveon,0
Protect,0.0574,Slurpuff,0
Protect,0.8174,Eiscue Ice Face,0
Protect,0.4742,Hippowdon,0
Protect,0.5321,Alakazam,0
Protect,0.5467,Arctozolt,0
Protect,0.1905,Starmie,0
Protect,0.1042,Turtonator,0
Protect,0.9531,Sharpedo,0
Protect,0.0727,Salazzle,0
Protect,0.5375,Ninetales,0
Protect,0.1643,Sirfetch'd,0
Protect,0.1222,Ribombee,0
Protect,0.1298,Charjabug,0
Protect,0.4938,Toxtricity Low Key Form,0
Protect,0.9026,Vaporeon,0
Protect,0.5998,Mr. Mime,0
Protect,0.8396,Magnezone,0
Protect,0.0836,Gallade,0
Protect,0.0495,Lopunny,0
Protect,0.581,Malamar,0
Protect,0.1772,Golisopod,0
Protect,0.1761,Golduck,0
Protect,0.8358,Shiinotic,0
Protect,0.7238,Lycanroc Dusk Form,0
Protect,0.0838,Unfezant,0
Protect,0.1709,Perrserker,0
Protect,0.1676,Galarian Slowbro,0
Protect,0.7525,Frost Rotom,0
Protect,0.9039,Roserade,0
Protect,0.1275,Tangrowth,0
Protect,0.7933,Sandaconda,0
Protect,0.1308,Polteageist,0
Protect,0.7987,Tangela,0
Protect,0.3014,Morpeko Full Belly Mode,0
Protect,0.0652,Miltank,0
Protect,0.353,Crawdaunt,0
Protect,0.5378,Heracross,0
Protect,0.7895,Magneton,0
Protect,0.2459,Stoutland,0
Protect,0.0905,Noivern,0
Protect,0.3216,Jolteon,0
Protect,0.2111,Cursola,0
Protect,0.4291,Falinks,0
Protect,0.1959,Dedenne,0
Protect,0.7789,Flygon,0
Protect,0.2509,Reuniclus,0
Protect,0.4648,Drapion,0
Protect,0.3352,Exploud,0
Protect,0.6489,Wigglytuff,0
Protect,0.0849,Galarian Corsola,0
Protect,0.5552,Vanilluxe,0
Protect,0.8914,Seaking,0
Protect,0.0375,Sigilyph,0
Protect,0.2501,Decidueye,0
Protect,0.6657,Galvantula,0
Protect,0.9832,Arctovish,0
Protect,0.2592,Maractus,0
Protect,0.0549,Orbeetle,0
Protect,0.2877,Passimian,0
Protect,0.3581,Lycanroc Midday Form,0
Protect,0.0979,Beheeyem,0
Protect,0.3358,Marowak,0
Protect,0.8592,Tentacruel,0
Protect,0.9245,Dragalge,0
Protect,0.6535,Flareon,0
Protect,0.8603,Bewear,0
Protect,0.529,Scyther,0
Protect,0.5692,Alolan Sandslash,0
Protect,0.5215,Poliwrath,0
Protect,0.5443,Lycanroc Midnight Form,0
Protect,0.8286,Golurk,0
Protect,0.1182,Lickilicky,0
Protect,0.9516,Fan Rotom,0
Protect,0.1589,Hitmonlee,0
Protect,0.7041,Scolipede,0
Protect,0.1244,Dunsparce,0
Protect,0.3353,Sandslash,0
Protect,0.9352,Steelix,0
Protect,0.8757,Noctowl,0
Protect,0.9999,Corsola,0
Protect,0.9948,Mime Jr.,0
Sacred Sword,0.8415,Zacian Crowned Sword,0
Sacred Sword,0.7966,Kartana,0
Sacred Sword,0.0629,Aegislash Shield Forme,0
Sacred Sword,0.3459,Terrakion,0
Sacred Sword,0.1115,Cobalion,0
Sacred Sword,0.2307,Virizion,0
Play Rough,0.6449,Zacian Crowned Sword,0
Play Rough,0.4147,Mimikyu,0
Play Rough,0.209,Azumarill,0
Play Rough,0.0776,Klefki,0
Play Rough,0.5143,Beartic,0
Play Rough,0.3097,Copperajah,0
Play Rough,0.0298,Slurpuff,0
Play Rough,0.07,Lopunny,0
Play Rough,0.0837,Lycanroc Dusk Form,0
Play Rough,0.353,Perrserker,0
Play Rough,0.6726,Miltank,0
Play Rough,0.2622,Stoutland,0
Play Rough,0.3975,Lycanroc Midday Form,0
Play Rough,0.5662,Lycanroc Midnight Form,0
Substitute,0.3027,Zacian Crowned Sword,0
Substitute,0.4109,Zygarde Complete Forme,0
Substitute,0.5025,Landorus Incarnate Forme,0
Substitute,0.2836,Dracovish,0
Substitute,0.6901,Galarian Weezing,0
Substitute,0.288,Moltres,0
Substitute,0.1291,Pincurchin,0
Substitute,0.1004,Aegislash Shield Forme,0
Substitute,0.0963,Darmanitan Standard Mode,0
Substitute,0.0699,Heatran,0
Substitute,0.8463,Swoobat,0
Substitute,0.0606,Accelgor,0
Substitute,0.7852,Manectric,0
Substitute,0.3565,Magneton,0
Substitute,0.0957,Dedenne,0
Substitute,0.1445,Galarian Corsola,0
Substitute,0.0902,Hitmonlee,0
Quick Attack,0.0849,Zacian Crowned Sword,0
Quick Attack,0.1939,Leafeon,0
Quick Attack,0.6609,Sylveon,0
Quick Attack,0.0463,Flareon,0
Quick Attack,0.0984,Scyther,0
Fake Out,0.998,Incineroar,0
Fake Out,0.15,Grimmsnarl,0
Fake Out,0.9762,Rillaboom,0
Fake Out,0.6024,Blastoise,0
Fake Out,0.9854,Raichu,0
Fake Out,0.6081,Sableye,0
Fake Out,0.9333,Gothitelle,0
Fake Out,0.9884,Mienshao,0
Fake Out,0.9321,Liepard,0
Fake Out,0.9709,Weavile,0
Fake Out,0.9702,Hitmontop,0
Fake Out,0.3201,Meowstic Male,0
Fake Out,0.941,Alolan Persian,0
Fake Out,0.8269,Sneasel,0
Fake Out,0.6196,Ludicolo,0
Fake Out,0.9776,Pikachu,0
Fake Out,0.1746,Togedemaru,0
Fake Out,0.9989,Kangaskhan,0
Fake Out,0.7333,Shiftry,0
Fake Out,0.9009,Toxicroak,0
Fake Out,0.968,Scrafty,0
Fake Out,0.9897,Mr. Rime,0
Fake Out,0.9473,Mime Galarian Mr. Mime,0
Fake Out,0.432,Alolan Raichu,0
Fake Out,0.984,Torracat,0
Fake Out,0.7682,Salazzle,0
Fake Out,0.9212,Mr. Mime,0
Fake Out,0.6836,Lopunny,0
Fake Out,0.7987,Perrserker,0
Fake Out,0.9055,Morpeko Full Belly Mode,0
Fake Out,0.4621,Hitmonlee,0
Flare Blitz,0.9884,Incineroar,0
Flare Blitz,0.57,Entei,0
Flare Blitz,0.1067,Cinderace,0
Flare Blitz,0.0452,Coalossal,0
Flare Blitz,0.1876,Arcanine,0
Flare Blitz,0.9951,Darmanitan Galarian Standard Mode,0
Flare Blitz,0.2748,Talonflame,0
Flare Blitz,0.9975,Alolan Marowak,0
Flare Blitz,0.9415,Centiskorch,0
Flare Blitz,0.9789,Darmanitan Standard Mode,0
Flare Blitz,0.2573,Blaziken,0
Flare Blitz,0.9829,Flareon,0
Parting Shot,0.9607,Incineroar,0
Parting Shot,0.0987,Alolan Persian,0
Parting Shot,0.2061,Obstagoon,0
Parting Shot,0.4315,Silvally,0
Parting Shot,1,Torracat,0
Parting Shot,0.5402,Thievul,0
Parting Shot,0.9483,Morpeko Full Belly Mode,0
Darkest Lariat,0.4001,Incineroar,0
Darkest Lariat,0.1546,Regigigas,0
Darkest Lariat,0.419,Snorlax,0
Darkest Lariat,0.2532,Krookodile,0
Darkest Lariat,0.9584,Electivire,0
Darkest Lariat,0.2304,Dusknoir,0
Darkest Lariat,0.9157,Bewear,0
Darkest Lariat,0.1689,Poliwrath,0
Throat Chop,0.211,Incineroar,0
Throat Chop,0.5504,Barraskewda,0
Throat Chop,0.092,Pheromosa,0
Throat Chop,0.1315,Weavile,0
Throat Chop,0.17,Galarian Zapdos,0
Throat Chop,0.6818,Shiftry,0
Throat Chop,0.0646,Obstagoon,0
Throat Chop,0.2695,Scrafty,0
Throat Chop,0.0838,Tauros,0
Throat Chop,0.8402,Luxray,0
Throat Chop,0.0837,Beartic,0
Throat Chop,0.0419,Gallade,0
Throat Chop,0.7533,Malamar,0
Throat Chop,0.0719,Perrserker,0
Throat Chop,0.1311,Heracross,0
Throat Chop,0.2903,Falinks,0
Throat Chop,0.3411,Hitmonlee,0
Throat Chop,0.9434,Corsola,0
