English name,
Number 1: Infection Buzzking,P
Number 1: Numeron Gate Ekam,
Number 2: Ninja Shadow Mosquito,P
Number 2: Numeron Gate Dve,
Number 3: Cicada King,
Number 4: Numeron Gate Catvari,
Number 4: Stealth Kragen,P
Number 5: Doom Chimera Dragon,P
Number 6: Chronomaly Atlandis,
Number 8: Heraldic King Genom-Heritage,O
Number 14: Greedy Sarameya,P
Number 16: Shock Master,
Number 21: Frozen Lady Justice,
"Number 23: Lancelot, Dark Knight of the Underworld",
Number 24: Dragulas the Vampiric Dragon,O
Number 26: Spaceway Octobypass,O
Number 37: Hope Woven Dragon Spider Shark,P
Number 39: Utopia Beyond,O
Number 39: Utopia Double,P
Number 39: Utopia Rising,P
Number 39: Utopia Roots,
Number 43: Manipulator of Souls,
Number 45: Crumble Logos the Prophet of Demolition,O
Number 49: Fortune Tune,
Number 52: Diamond Crab King,O
Number 60: Dugares the Timeless,P
Number 65: Djinn Buster,
Number 67: Pair-a-Dice Smasher,O
Number 72: Shogi Rook,O
Number 74: Master of Blades,O
Number 75: Bamboozling Gossip Shadow,
Number 76: Harmonizer Gradielle,P
Number 79: Battlin' Boxer Nova Kaiser,P
Number 80: Rhapsody in Berserk,
Number 81: Superdreadnought Rail Cannon Super Dora,P
Number 82: Heartlandraco,O
Number 88: Gimmick Puppet of Leo,
Number 90: Galaxy-Eyes Photon Lord,O
Number 91: Thunder Spark Dragon,
Number 92: Heart-eartH Dragon,O
Number 97: Draglubion,P
Number 99: Utopia Dragonar,P
Number F0: Utopic Draco Future,P
Number F0: Utopic Future Slash,
Number XX: Utopic Dark Infinity,
Number 102: Star Seraph Sentry,
Number 103: Ragnazero,
Number 104: Masquerade,
Number C9: Chaos Dyson Sphere,
Number C15: Gimmick Puppet Giant Hunter,P
Number C32: Shark Drake Leviathan,P
Number C39: Utopia Ray Victory,
Number C40: Gimmick Puppet of Dark Strings,
Number C62: Neo Galaxy-Eyes Prime Photon Dragon,P
Number C69: Heraldry Crest of Horror,O
Number C79: Battlin' Boxer General Kaiser,P
Number C92: Heart-eartH Chaos Dragon,
Number C96: Dark Storm,O
Number C101: Silent Honor DARK,
Number C102: Archfiend Seraph,
Number C103: Ragnafinity,
Number C104: Umbral Horror Masquerade,
Number C107: Neo Galaxy-Eyes Tachyon Dragon,
Number iC1000: Numerounius Numerounia,
Ultimate Dragonic Utopia Ray,
Ultimate Leo Utopia Ray,
