Alloggio Affitto  Capoluogo
1	 170	  A
2	 200	  A
3	 230	  A
4	 240	  A
5	 250	  A
6	 270	A
7	 290	A
8	 325	A
9	 360	A
10	 390	A
11       330   A
12       370   A
13       400   A
14       420   A
15       380   A
16       390    A
17       350   A
18       360     A
19       390   A
20       400   A 
21       450   A
22       440   A   
23       430    A
24       370   A
25       360   A
26       350   A 
27       340   A
28       400   A
29       290    A
30       380   A
31	 200	  B
32	 230	  B
33	 250	  B
34	 240	  B
35	 300	  B
36	 290	B
37	 320	B
38	 330	B
39	 350	B
40	 360	B
41       400   NA
42       390   B
43       300   B
44       330   B
45       340   B
46       350   B
47       380   B
48       290     B
49       260   B
50       250   B 
51       230   B
52       NA   B  
53       310    B
54       320   B
55       280   B
56       370   B 
57       380   B
58       330   B
59       280    B
