"stato" "perc_fem"
"1" "USA" "29"
"2" "USA" "65"
"3" "USA" "63"
"4" "USA" "48"
"5" "USA" "52"
"6" "USA" "60"
"7" "USA" "35"
"8" "USA" "35"
"9" "USA" "16"
"10" "USA" "50"
"11" "USA" "65"
"12" "USA" "89"
"13" "USA" "48"
"14" "USA" "85"
"15" "USA" "76"
"16" "USA" "33"
"17" "USA" "35"
"18" "USA" "86"
"19" "USA" "84"
"20" "USA" "50"
"21" "USA" "60"
"22" "USA" "60"
"23" "USA" "37"
"24" "USA" "68"
"25" "USA" "61"
"26" "USA" "72"
"27" "USA" "80"
"28" "USA" "56"
"29" "USA" "60"
"30" "USA" "64"
"31" "USA" "58"
"32" "USA" "50"
"33" "USA" "90"
"34" "USA" "55"
"35" "USA" "48"
"36" "USA" "55"
"37" "USA" "38"
"38" "USA" "73"
"39" "USA" "63"
"40" "USA" "80"
"41" "USA" "82"
"42" "USA" "54"
"43" "USA" "50"
"44" "USA" "78"
"45" "USA" "43"
"46" "USA" "79"
"47" "USA" "61"
"48" "USA" "60"
"49" "USA" "86"
"50" "USA" "75"
"51" "USA" "55"
"52" "USA" "25"
"53" "USA" "65"
"54" "USA" "90"
"55" "USA" "60"
"56" "USA" "57"
"57" "USA" "73"
"58" "USA" "28"
"59" "USA" "65"
"60" "USA" "75"
"61" "USA" "54"
"62" "USA" "75"
"63" "USA" "69"
"64" "USA" "13"
"65" "USA" "70"
"66" "USA" "90"
"67" "USA" "40"
"68" "USA" "52"
"69" "VIETNAM" "93"
"70" "VIETNAM" "73"
"71" "VIETNAM" "93"
"72" "VIETNAM" "89"
"73" "VIETNAM" "88"
"74" "VIETNAM" "75"
"75" "VIETNAM" "78"
"76" "VIETNAM" "78"
"77" "VIETNAM" "67"
"78" "VIETNAM" "73"
"79" "VIETNAM" "86"
"80" "VIETNAM" "96"
"81" "VIETNAM" "79"
"82" "VIETNAM" "89"
"83" "VIETNAM" "86"
"84" "VIETNAM" "69"
"85" "VIETNAM" "67"
"86" "VIETNAM" "72"
"87" "VIETNAM" "70"
"88" "VIETNAM" "97"
"89" "VIETNAM" "90"
"90" "VIETNAM" "76"
"91" "VIETNAM" "41"
"92" "VIETNAM" "82"
"93" "VIETNAM" "91"
"94" "VIETNAM" "86"
"95" "VIETNAM" "38"
"96" "VIETNAM" "87"
"97" "VIETNAM" "81"
"98" "VIETNAM" "92"
"99" "VIETNAM" "80"
"100" "VIETNAM" "71"
"101" "VIETNAM" "80"
"102" "VIETNAM" "52"
"103" "VIETNAM" "77"
"104" "VIETNAM" "80"
"105" "VIETNAM" "88"
"106" "VIETNAM" "82"
"107" "VIETNAM" "86"
"108" "VIETNAM" "84"
"109" "VIETNAM" "89"
"110" "VIETNAM" "82"
"111" "VIETNAM" "86"
"112" "VIETNAM" "95"
"113" "VIETNAM" "76"
"114" "VIETNAM" "47"
"115" "VIETNAM" "90"
"116" "VIETNAM" "64"
"117" "VIETNAM" "54"
"118" "VIETNAM" "79"
"119" "VIETNAM" "92"
"120" "VIETNAM" "80"
"121" "VIETNAM" "60"
"122" "VIETNAM" "36"
"123" "VIETNAM" "96"
"124" "VIETNAM" "84"
"125" "VIETNAM" "70"
"126" "VIETNAM" "72"
"127" "VIETNAM" "82"
"128" "VIETNAM" "82"
"129" "VIETNAM" "84"
"130" "VIETNAM" "62"
"131" "VIETNAM" "83"
"132" "VIETNAM" "80"
"133" "VIETNAM" "79"
"134" "VIETNAM" "85"
"135" "VIETNAM" "95"
