1,39,2021-07-18,2025-07-04
2,39,2020-06-10,2022-03-04
2,52,2022-03-26,
3,56,2017-10-24,2026-01-10
4,19,2017-04-29,2023-12-17
5,60,2016-10-26,2017-03-01
5,29,2017-03-17,2024-11-29
6,24,2023-03-09,2023-11-12
6,60,2023-12-12,
7,9,2016-11-01,2023-02-14
8,25,2022-11-12,2023-10-25
8,36,2023-10-26,
9,55,2020-05-26,2022-01-20
9,19,2022-02-05,2022-07-31
10,34,2019-01-11,2020-12-07
10,52,2020-12-23,2024-06-01
11,33,2022-01-01,2022-05-08
11,31,2022-06-02,2023-04-22
11,14,2023-05-15,
12,19,2021-09-28,2022-10-16
12,57,2022-11-09,2024-03-22
12,6,2024-03-25,2025-10-29
13,53,2020-10-14,2021-08-30
13,40,2021-09-12,
14,28,2017-12-08,2018-05-27
14,45,2018-05-31,2019-11-02
14,15,2019-11-17,2020-11-15
15,22,2018-12-12,2020-05-28
15,54,2020-06-23,2023-02-26
16,41,2020-05-28,2020-06-29
16,60,2020-07-25,2022-01-15
17,17,2021-02-21,2021-05-04
17,35,2021-05-07,2021-12-10
17,18,2021-12-19,
18,9,2018-05-02,2025-10-26
19,46,2017-05-02,2023-08-27
20,36,2022-03-04,2023-06-30
20,24,2023-07-29,2025-05-21
20,43,2025-06-04,2025-08-30
21,47,2019-01-14,2019-11-16
21,44,2019-11-17,2020-01-25
21,59,2020-01-29,
22,49,2022-09-06,2024-01-24
22,21,2024-02-23,
23,26,2017-04-20,2018-03-16
23,16,2018-04-14,
24,27,2022-02-26,2022-05-17
24,4,2022-06-09,2022-07-29
25,54,2018-08-03,2019-04-02
25,14,2019-04-22,2020-02-29
26,6,2019-10-10,
27,52,2016-10-16,2017-11-21
27,17,2017-12-05,2021-09-05
28,43,2016-07-09,2016-10-25
28,13,2016-11-07,2017-08-27
28,1,2017-09-07,
29,51,2017-05-07,2019-01-15
29,17,2019-01-27,2024-08-19
30,52,2018-03-31,
31,14,2021-02-13,
32,33,2016-12-24,2017-02-12
32,32,2017-02-24,2018-07-16
33,27,2019-05-01,2019-06-12
33,54,2019-07-01,2023-10-07
34,9,2020-09-20,2022-11-14
35,8,2019-10-11,2020-11-15
35,2,2020-11-29,2025-05-23
36,3,2017-08-07,2017-10-25
36,12,2017-11-24,2019-11-20
36,1,2019-11-30,
37,1,2017-05-05,2017-09-22
37,17,2017-10-22,2019-04-15
37,6,2019-05-10,
38,44,2021-03-09,2022-01-01
38,29,2022-01-25,2023-12-16
38,60,2024-01-11,2024-08-29
39,13,2022-06-18,2024-01-14
39,59,2024-01-20,
40,59,2021-04-17,2022-09-23
40,34,2022-10-13,2022-12-22
40,20,2023-01-11,2026-03-29
41,8,2018-03-10,2018-10-08
41,56,2018-10-13,2020-01-12
41,54,2020-02-09,
42,36,2021-06-02,2021-09-12
42,10,2021-09-20,
43,34,2022-09-21,2023-09-29
43,38,2023-10-20,2025-05-20
44,42,2016-05-21,2020-01-19
45,20,2018-01-10,2018-08-28
45,53,2018-09-10,2020-02-23
45,19,2020-03-04,2023-08-20
46,2,2020-01-24,
47,18,2022-09-22,2022-11-27
47,23,2022-12-13,2023-12-10
48,52,2020-04-18,2020-11-21
48,37,2020-11-26,2022-06-09
48,12,2022-06-29,2024-09-02
49,38,2017-08-26,2019-03-02
49,14,2019-03-29,2019-06-20
49,7,2019-07-19,
50,49,2019-07-10,
51,7,2019-05-05,2026-04-13
52,11,2021-06-09,2025-11-11
53,53,2018-05-18,2020-01-23
53,7,2020-02-03,
54,19,2022-04-09,
55,7,2022-12-03,2023-07-15
55,32,2023-08-13,2025-12-18
56,19,2016-07-28,
57,24,2016-06-15,
58,60,2021-02-11,
59,26,2022-10-01,2026-05-11
60,49,2016-07-20,2017-08-12
60,6,2017-08-16,2019-01-03
60,4,2019-01-27,
61,11,2022-08-20,2024-05-11
61,29,2024-05-21,
62,13,2021-10-15,2023-05-13
62,51,2023-06-01,2024-06-21
62,4,2024-07-13,2024-10-20
63,27,2022-11-04,
64,21,2022-02-06,2023-11-20
64,29,2023-11-27,2024-10-26
65,14,2018-01-07,2019-03-22
65,23,2019-04-09,2019-11-12
66,39,2018-08-07,2019-10-22
66,8,2019-11-21,2023-10-01
67,51,2022-02-07,2026-03-21
68,2,2016-11-17,2017-12-06
68,5,2017-12-16,
69,49,2022-02-14,
70,26,2020-06-13,2021-03-21
70,9,2021-04-03,
71,24,2019-03-28,2020-01-04
71,51,2020-01-29,
72,8,2017-08-20,2018-02-12
72,26,2018-02-16,2018-08-12
72,17,2018-08-26,
73,52,2017-04-13,2026-01-09
74,53,2020-01-26,2021-02-15
74,49,2021-03-12,2022-01-09
75,60,2016-10-15,2021-06-03
76,56,2020-04-17,2022-01-22
76,22,2022-02-09,2022-05-24
76,54,2022-06-23,
77,48,2022-03-10,2024-02-23
77,2,2024-03-02,2025-12-02
77,3,2025-12-03,2026-02-01
78,59,2017-12-08,2018-09-06
78,14,2018-09-21,2020-05-28
78,38,2020-05-29,
79,7,2021-01-25,2021-12-23
79,32,2021-12-31,2022-10-18
79,35,2022-11-01,2024-08-25
80,24,2017-02-19,2018-06-18
80,36,2018-06-21,2020-06-10
80,16,2020-07-10,
81,1,2017-03-17,
82,13,2020-08-02,2022-07-11
82,4,2022-07-29,
83,11,2021-06-29,2022-11-19
83,23,2022-12-01,
84,50,2019-11-10,2020-11-07
84,13,2020-12-02,
85,28,2018-01-24,2023-11-29
86,47,2023-02-13,
87,2,2016-12-30,2024-06-28
88,23,2019-08-20,2020-05-26
88,60,2020-06-20,
89,45,2022-08-17,2023-04-03
89,24,2023-04-10,2023-09-17
89,15,2023-10-10,2025-09-21
90,8,2017-06-10,2020-01-18
91,50,2022-11-14,2023-04-23
91,15,2023-05-18,2025-03-09
91,60,2025-03-23,
92,4,2022-11-06,
93,26,2021-09-26,2022-09-26
93,2,2022-10-13,2025-11-05
94,37,2021-02-13,2021-07-04
94,26,2021-07-27,
95,41,2023-02-23,
96,16,2022-04-27,2023-09-13
96,57,2023-10-06,2026-03-09
97,36,2021-09-02,2021-10-11
97,17,2021-11-07,
98,52,2017-10-03,2018-06-05
98,33,2018-07-01,2023-10-20
99,54,2018-11-12,2020-03-29
99,43,2020-04-16,2025-09-27
100,51,2020-02-18,2023-03-31
101,18,2021-04-06,2022-05-20
101,56,2022-05-27,2024-05-31
102,49,2017-03-20,2022-12-15
103,31,2022-10-03,2023-07-15
104,17,2019-10-02,2020-11-05
104,54,2020-11-23,
105,4,2018-10-22,2019-12-27
105,29,2020-01-21,2021-11-30
105,16,2021-12-30,2022-03-22
106,48,2018-07-04,2020-06-06
106,42,2020-06-20,2020-12-04
106,41,2020-12-08,
107,12,2021-06-20,2022-08-16
107,30,2022-08-18,2023-07-31
107,2,2023-08-10,2025-11-30
108,45,2022-08-31,2023-08-15
108,6,2023-09-01,2024-02-12
108,7,2024-03-01,2025-08-28
109,45,2018-04-01,2019-04-02
109,43,2019-04-08,
110,11,2021-08-19,2023-06-21
110,25,2023-06-28,2025-11-30
111,51,2021-04-26,2023-01-15
111,46,2023-02-13,2025-01-30
111,28,2025-01-31,
112,22,2022-11-08,2024-04-16
112,35,2024-04-21,2024-09-16
113,8,2023-05-11,2024-12-03
113,7,2024-12-31,2026-10-24
113,40,2026-11-11,
114,59,2020-09-08,2022-08-27
114,32,2022-09-12,2023-06-23
114,24,2023-07-16,
115,36,2017-05-14,2018-05-26
115,30,2018-06-05,
116,34,2020-11-21,2021-02-10
116,4,2021-03-06,2024-02-01
117,49,2020-06-24,2022-05-15
117,24,2022-05-20,
118,20,2022-10-25,2024-09-29
118,16,2024-10-03,2025-07-27
